stage,visitors,conversions,conversion_rate,date,source
visit,2207,207,9.38,2026-06-11,email
signup,207,105,50.72,2026-06-11,email
activation,105,41,39.05,2026-06-11,email
purchase,41,21,51.22,2026-06-11,email
retained,21,21,100.0,2026-06-11,email
visit,1889,169,8.95,2026-06-12,organic
signup,169,94,55.62,2026-06-12,organic
activation,94,37,39.36,2026-06-12,organic
purchase,37,23,62.16,2026-06-12,organic
retained,23,23,100.0,2026-06-12,organic
visit,1625,168,10.34,2026-06-13,paid_search
signup,168,94,55.95,2026-06-13,paid_search
activation,94,34,36.17,2026-06-13,paid_search
purchase,34,21,61.76,2026-06-13,paid_search
retained,21,21,100.0,2026-06-13,paid_search
visit,1419,183,12.9,2026-06-14,organic
signup,183,112,61.2,2026-06-14,organic
activation,112,38,33.93,2026-06-14,organic
purchase,38,24,63.16,2026-06-14,organic
retained,24,24,100.0,2026-06-14,organic
visit,1611,197,12.23,2026-06-15,organic
signup,197,109,55.33,2026-06-15,organic
activation,109,48,44.04,2026-06-15,organic
purchase,48,33,68.75,2026-06-15,organic
retained,33,33,100.0,2026-06-15,organic
visit,1756,188,10.71,2026-06-16,paid_search
signup,188,105,55.85,2026-06-16,paid_search
activation,105,27,25.71,2026-06-16,paid_search
purchase,27,16,59.26,2026-06-16,paid_search
retained,16,16,100.0,2026-06-16,paid_search
visit,1681,157,9.34,2026-06-17,paid_social
signup,157,68,43.31,2026-06-17,paid_social
activation,68,27,39.71,2026-06-17,paid_social
purchase,27,14,51.85,2026-06-17,paid_social
retained,14,14,100.0,2026-06-17,paid_social
visit,1732,185,10.68,2026-06-18,email
signup,185,110,59.46,2026-06-18,email
activation,110,29,26.36,2026-06-18,email
purchase,29,17,58.62,2026-06-18,email
retained,17,17,100.0,2026-06-18,email
visit,1928,253,13.12,2026-06-19,organic
signup,253,148,58.5,2026-06-19,organic
activation,148,61,41.22,2026-06-19,organic
purchase,61,33,54.1,2026-06-19,organic
retained,33,33,100.0,2026-06-19,organic
visit,1399,147,10.51,2026-06-20,paid_search
signup,147,88,59.86,2026-06-20,paid_search
activation,88,38,43.18,2026-06-20,paid_search
purchase,38,19,50.0,2026-06-20,paid_search
retained,19,19,100.0,2026-06-20,paid_search
visit,1281,127,9.91,2026-06-21,organic
signup,127,60,47.24,2026-06-21,organic
activation,60,20,33.33,2026-06-21,organic
purchase,20,12,60.0,2026-06-21,organic
retained,12,12,100.0,2026-06-21,organic
visit,1742,153,8.78,2026-06-22,organic
signup,153,77,50.33,2026-06-22,organic
activation,77,24,31.17,2026-06-22,organic
purchase,24,15,62.5,2026-06-22,organic
retained,15,15,100.0,2026-06-22,organic
visit,2189,267,12.2,2026-06-23,paid_search
signup,267,141,52.81,2026-06-23,paid_search
activation,141,52,36.88,2026-06-23,paid_search
purchase,52,33,63.46,2026-06-23,paid_search
retained,33,33,100.0,2026-06-23,paid_search
visit,1607,212,13.19,2026-06-24,paid_social
signup,212,123,58.02,2026-06-24,paid_social
activation,123,51,41.46,2026-06-24,paid_social
purchase,51,34,66.67,2026-06-24,paid_social
retained,34,34,100.0,2026-06-24,paid_social
visit,1826,196,10.73,2026-06-25,email
signup,196,87,44.39,2026-06-25,email
activation,87,32,36.78,2026-06-25,email
purchase,32,16,50.0,2026-06-25,email
retained,16,16,100.0,2026-06-25,email
visit,1616,158,9.78,2026-06-26,organic
signup,158,72,45.57,2026-06-26,organic
activation,72,22,30.56,2026-06-26,organic
purchase,22,11,50.0,2026-06-26,organic
retained,11,11,100.0,2026-06-26,organic
visit,1195,114,9.54,2026-06-27,paid_search
signup,114,50,43.86,2026-06-27,paid_search
activation,50,16,32.0,2026-06-27,paid_search
purchase,16,7,43.75,2026-06-27,paid_search
retained,7,7,100.0,2026-06-27,paid_search
visit,1625,192,11.82,2026-06-28,organic
signup,192,87,45.31,2026-06-28,organic
activation,87,26,29.89,2026-06-28,organic
purchase,26,14,53.85,2026-06-28,organic
retained,14,14,100.0,2026-06-28,organic
visit,1808,170,9.4,2026-06-29,organic
signup,170,101,59.41,2026-06-29,organic
activation,101,44,43.56,2026-06-29,organic
purchase,44,26,59.09,2026-06-29,organic
retained,26,26,100.0,2026-06-29,organic
visit,1885,173,9.18,2026-06-30,paid_search
signup,173,77,44.51,2026-06-30,paid_search
activation,77,24,31.17,2026-06-30,paid_search
purchase,24,13,54.17,2026-06-30,paid_search
retained,13,13,100.0,2026-06-30,paid_search
